,amount,success,3D_secured,Day of Week,Day of Month,Time of Day,previous_attemps,PSP_Goldcard,PSP_Moneycard,PSP_Simplecard,PSP_UK_Card,CARD_Diners,CARD_Master,CARD_Visa
0,89,0,0,5,1,0,0,0,0,0,1,0,0,1
1,89,1,0,5,1,0,1,0,0,0,1,0,0,1
2,238,0,1,5,1,0,0,0,0,0,1,1,0,0
3,238,1,1,5,1,0,1,0,0,0,1,1,0,0
4,124,0,0,5,1,0,0,0,0,1,0,1,0,0
5,282,0,0,5,1,0,0,0,0,0,1,0,1,0
6,282,0,0,5,1,0,1,0,0,1,0,0,1,0
7,117,1,0,5,1,0,0,0,0,0,1,0,1,0
8,174,0,0,5,1,0,0,0,0,1,0,0,0,1
9,174,0,0,5,1,0,1,0,0,1,0,0,0,1
10,232,0,1,5,1,0,0,0,0,1,0,1,0,0
11,232,0,1,5,1,0,1,0,0,0,1,1,0,0
12,232,0,1,5,1,0,2,0,0,0,1,1,0,0
13,232,0,1,5,1,0,3,0,0,0,1,1,0,0
14,232,1,1,5,1,0,4,0,0,0,1,1,0,0
15,268,0,0,5,1,0,0,0,0,1,0,0,1,0
16,89,0,0,5,1,0,0,0,0,1,0,0,1,0
17,89,0,0,5,1,0,1,0,0,0,1,0,1,0
18,89,0,0,5,1,0,2,0,1,0,0,0,1,0
19,205,0,0,5,1,0,0,0,0,0,1,0,1,0
20,205,0,0,5,1,0,1,0,0,0,1,0,1,0
21,205,1,0,5,1,0,2,0,1,0,0,0,1,0
22,111,0,0,5,1,0,0,0,0,1,0,0,1,0
23,111,0,0,5,1,0,1,0,0,0,1,0,1,0
24,111,0,0,5,1,0,2,0,0,0,1,0,1,0
25,111,0,0,5,1,0,3,0,0,0,1,0,1,0
26,111,0,0,5,1,0,4,0,0,0,1,0,1,0
27,111,0,0,5,1,0,5,0,0,0,1,0,1,0
28,277,1,0,5,1,0,0,1,0,0,0,1,0,0
29,137,0,0,5,1,0,0,0,0,0,1,1,0,0
30,148,0,0,5,1,0,0,0,1,0,0,1,0,0
31,394,0,0,5,1,0,0,0,0,0,1,1,0,0
32,394,0,0,5,1,0,1,0,0,0,1,1,0,0
33,394,0,0,5,1,0,2,0,0,0,1,1,0,0
34,394,1,0,5,1,0,3,0,0,0,1,1,0,0
35,84,0,0,5,1,0,0,0,1,0,0,0,1,0
36,34,0,0,5,1,0,0,0,1,0,0,0,0,1
37,34,0,0,5,1,0,1,0,0,1,0,0,0,1
38,34,0,0,5,1,0,2,1,0,0,0,0,0,1
39,324,0,0,5,1,0,0,0,0,0,1,0,1,0
40,251,0,1,5,1,0,0,0,0,0,1,0,1,0
41,251,0,1,5,1,0,1,0,0,0,1,0,1,0
42,251,0,1,5,1,0,2,0,0,0,1,0,1,0
43,251,0,1,5,1,0,3,0,0,1,0,0,1,0
44,100,0,0,5,1,0,0,0,0,0,1,0,1,0
45,100,0,0,5,1,0,1,0,0,0,1,0,1,0
46,100,0,0,5,1,0,2,0,0,0,1,0,1,0
47,100,0,0,5,1,0,3,0,0,0,1,0,1,0
48,100,0,0,5,1,0,4,0,0,1,0,0,1,0
49,221,0,0,5,1,0,0,0,1,0,0,0,0,1
50,340,0,0,5,1,0,0,0,0,1,0,1,0,0
51,340,1,0,5,1,0,1,0,0,0,1,1,0,0
52,257,0,1,5,1,1,0,0,0,0,1,0,1,0
53,257,0,1,5,1,1,1,1,0,0,0,0,1,0
54,257,0,1,5,1,1,2,0,0,0,1,0,1,0
55,257,1,1,5,1,1,3,0,0,0,1,0,1,0
56,193,0,0,5,1,1,0,0,0,0,1,0,0,1
57,36,1,1,5,1,1,0,0,0,1,0,0,1,0
58,146,0,0,5,1,1,0,0,0,1,0,1,0,0
59,192,0,0,5,1,1,0,0,0,0,1,0,1,0
60,192,1,0,5,1,1,1,0,0,0,1,0,1,0
61,14,0,0,5,1,1,0,0,1,0,0,0,1,0
62,14,0,0,5,1,1,1,0,0,0,1,0,1,0
63,175,0,0,5,1,1,0,0,1,0,0,0,0,1
64,175,0,0,5,1,1,1,0,0,1,0,0,0,1
65,175,1,0,5,1,1,2,0,0,1,0,0,0,1
66,270,0,0,5,1,1,0,0,0,1,0,0,1,0
67,270,0,0,5,1,1,1,0,0,0,1,0,1,0
68,256,0,0,5,1,1,0,0,0,0,1,0,1,0
69,256,0,0,5,1,1,1,0,0,0,1,0,1,0
70,256,0,0,5,1,1,2,0,0,0,1,0,1,0
71,256,1,0,5,1,1,3,0,1,0,0,0,1,0
72,310,0,0,5,1,1,0,1,0,0,0,0,0,1
73,310,0,0,5,1,1,1,0,0,1,0,0,0,1
74,310,0,0,5,1,1,2,0,0,0,1,0,0,1
75,310,0,0,5,1,1,3,0,0,0,1,0,0,1
76,310,0,0,5,1,1,4,0,0,1,0,0,0,1
77,310,0,0,5,1,1,5,0,0,0,1,0,0,1
78,310,1,0,5,1,1,6,0,0,0,1,0,0,1
79,239,0,0,5,1,1,0,0,0,1,0,0,1,0
80,37,0,0,5,1,1,0,0,0,0,1,0,1,0
81,37,0,0,5,1,1,1,0,0,1,0,0,1,0
82,37,0,0,5,1,1,2,0,1,0,0,0,1,0
83,37,0,0,5,1,1,3,0,0,0,1,0,1,0
84,37,0,0,5,1,1,4,0,0,0,1,0,1,0
85,37,0,0,5,1,1,3,0,0,0,1,0,1,0
86,37,0,0,5,1,1,4,0,0,0,1,0,1,0
87,37,0,0,5,1,1,5,0,0,1,0,0,1,0
88,56,0,1,5,1,1,0,0,0,1,0,0,0,1
89,56,0,1,5,1,1,1,0,0,0,1,0,0,1
90,56,0,1,5,1,1,2,0,1,0,0,0,0,1
91,192,0,1,5,1,1,0,1,0,0,0,1,0,0
92,192,0,1,5,1,1,1,0,0,1,0,1,0,0
93,324,0,0,5,1,1,0,0,0,0,1,0,0,1
94,324,0,0,5,1,1,1,0,0,0,1,0,0,1
95,324,0,0,5,1,1,2,0,0,0,1,0,0,1
96,324,1,0,5,1,1,3,0,0,1,0,0,0,1
97,105,0,0,5,1,1,0,0,0,0,1,0,1,0
98,105,0,0,5,1,1,1,0,0,1,0,0,1,0
99,105,0,0,5,1,1,2,0,0,0,1,0,1,0
100,105,0,0,5,1,1,3,0,1,0,0,0,1,0
101,105,0,0,5,1,1,4,1,0,0,0,0,1,0
102,228,0,0,5,1,1,0,0,0,0,1,1,0,0
103,228,0,0,5,1,1,1,0,0,0,1,1,0,0
104,228,1,0,5,1,1,2,0,0,0,1,1,0,0
105,322,0,0,5,1,1,0,0,0,0,1,0,1,0
106,322,0,0,5,1,1,1,0,1,0,0,0,1,0
107,367,0,0,5,1,1,0,0,1,0,0,0,0,1
108,367,0,0,5,1,1,1,0,0,0,1,0,0,1
109,367,1,0,5,1,1,2,0,0,0,1,0,0,1
110,190,0,0,5,1,1,0,0,0,0,1,1,0,0
111,190,0,0,5,1,1,1,0,0,1,0,1,0,0
112,190,0,0,5,1,1,2,0,0,0,1,1,0,0
113,190,0,0,5,1,1,3,0,0,0,1,1,0,0
114,190,0,0,5,1,1,4,0,0,0,1,1,0,0
115,186,0,0,5,1,2,0,0,0,0,1,0,1,0
116,186,1,0,5,1,2,1,0,0,0,1,0,1,0
117,121,0,1,5,1,2,0,0,1,0,0,0,1,0
118,121,0,1,5,1,2,1,0,0,0,1,0,1,0
