,country,amount,success,PSP,3D_secured,card,minute,hour,day,weekday,fee
0,1,89,0,3,0,2,1,0,1,1,1.0
1,1,89,1,3,0,2,1,0,1,1,3.0
2,1,238,0,3,1,0,2,0,1,1,0.5
3,1,238,1,3,1,0,3,0,1,1,3.0
4,0,124,0,2,0,0,4,0,1,1,0.5
5,2,282,0,3,0,1,6,0,1,1,0.5
6,2,282,0,2,0,1,7,0,1,1,0.5
7,1,117,1,3,0,1,8,0,1,1,3.0
8,2,174,0,2,0,2,9,0,1,1,1.0
9,2,174,0,2,0,2,10,0,1,1,1.0
10,0,232,0,2,1,0,12,0,1,1,1.0
11,0,232,0,3,1,0,12,0,1,1,0.5
12,0,232,0,3,1,0,13,0,1,1,0.5
13,0,232,0,3,1,0,13,0,1,1,1.0
14,0,232,1,3,1,0,14,0,1,1,1.0
15,1,268,0,2,0,1,15,0,1,1,1.0
16,2,89,0,2,0,1,18,0,1,1,1.0
17,2,89,0,3,0,1,18,0,1,1,0.5
18,2,89,0,1,0,1,18,0,1,1,1.0
19,1,205,0,3,0,1,20,0,1,1,1.0
20,1,205,0,3,0,1,20,0,1,1,1.0
21,1,205,1,1,0,1,21,0,1,1,5.0
22,2,111,0,2,0,1,23,0,1,1,1.0
23,2,111,0,3,0,1,24,0,1,1,1.0
24,2,111,0,3,0,1,24,0,1,1,2.0
25,2,111,0,3,0,1,25,0,1,1,1.0
26,2,111,0,3,0,1,26,0,1,1,1.0
27,2,111,0,3,0,1,26,0,1,1,1.0
28,2,277,1,0,0,0,28,0,1,1,5.0
29,2,137,0,3,0,0,30,0,1,1,2.0
30,2,148,0,1,0,0,32,0,1,1,0.5
31,0,394,0,3,0,0,34,0,1,1,5.0
32,0,394,0,3,0,0,34,0,1,1,1.0
33,0,394,0,3,0,0,35,0,1,1,1.0
34,0,394,1,3,0,0,35,0,1,1,3.0
35,1,84,0,1,0,1,36,0,1,1,1.0
36,0,34,0,1,0,2,41,0,1,1,0.5
37,0,34,0,2,0,2,41,0,1,1,1.0
38,0,34,0,0,0,2,41,0,1,1,1.0
39,2,324,0,3,0,1,44,0,1,1,1.0
40,1,251,0,3,1,1,46,0,1,1,1.0
41,1,251,0,3,1,1,46,0,1,1,0.5
42,1,251,0,3,1,1,47,0,1,1,2.0
43,1,251,0,2,1,1,47,0,1,1,0.5
44,1,100,0,3,0,1,51,0,1,1,1.0
45,1,100,0,3,0,1,51,0,1,1,5.0
46,1,100,0,3,0,1,52,0,1,1,1.0
47,1,100,0,3,0,1,52,0,1,1,1.0
48,1,100,0,2,0,1,52,0,1,1,0.5
49,1,221,0,1,0,2,55,0,1,1,1.0
50,2,340,0,2,0,0,56,0,1,1,2.0
51,2,340,1,3,0,0,56,0,1,1,1.0
52,1,257,0,3,1,1,1,1,1,1,2.0
53,1,257,0,0,1,1,1,1,1,1,0.5
54,1,257,0,3,1,1,2,1,1,1,0.5
55,1,257,1,3,1,1,2,1,1,1,3.0
56,2,193,0,3,0,2,3,1,1,1,1.0
57,1,36,1,2,1,1,4,1,1,1,3.0
58,2,146,0,2,0,0,6,1,1,1,1.0
59,1,192,0,3,0,1,8,1,1,1,5.0
60,1,192,1,3,0,1,8,1,1,1,3.0
61,1,14,0,1,0,1,11,1,1,1,1.0
62,1,14,0,3,0,1,11,1,1,1,1.0
63,1,175,0,1,0,2,12,1,1,1,0.5
64,1,175,0,2,0,2,13,1,1,1,1.0
65,1,175,1,2,0,2,13,1,1,1,3.0
66,1,270,0,2,0,1,14,1,1,1,1.0
67,1,270,0,3,0,1,14,1,1,1,0.5
68,0,256,0,3,0,1,17,1,1,1,2.0
69,0,256,0,3,0,1,17,1,1,1,1.0
70,0,256,0,3,0,1,18,1,1,1,1.0
71,0,256,1,1,0,1,18,1,1,1,3.0
72,1,310,0,0,0,2,19,1,1,1,0.5
73,1,310,0,2,0,2,20,1,1,1,1.0
74,1,310,0,3,0,2,20,1,1,1,2.0
75,1,310,0,3,0,2,21,1,1,1,5.0
76,1,310,0,2,0,2,21,1,1,1,0.5
77,1,310,0,3,0,2,21,1,1,1,1.0
78,1,310,1,3,0,2,22,1,1,1,3.0
79,0,239,0,2,0,1,23,1,1,1,1.0
80,1,37,0,3,0,1,26,1,1,1,1.0
81,1,37,0,2,0,1,26,1,1,1,0.5
82,1,37,0,1,0,1,27,1,1,1,1.0
83,1,37,0,3,0,1,28,1,1,1,2.0
84,1,37,0,3,0,1,28,1,1,1,5.0
85,1,37,0,2,0,1,28,1,1,1,1.0
86,1,56,0,2,1,2,35,1,1,1,1.0
87,1,56,0,3,1,2,35,1,1,1,1.0
88,1,56,0,1,1,2,35,1,1,1,2.0
89,1,192,0,0,1,0,36,1,1,1,2.0
90,1,192,0,2,1,0,37,1,1,1,1.0
91,1,324,0,3,0,2,38,1,1,1,1.0
92,1,324,0,3,0,2,38,1,1,1,0.5
93,1,324,0,3,0,2,38,1,1,1,1.0
94,1,324,1,2,0,2,38,1,1,1,3.0
95,1,105,0,3,0,1,40,1,1,1,1.0
96,1,105,0,2,0,1,41,1,1,1,1.0
97,1,105,0,3,0,1,42,1,1,1,2.0
98,1,105,0,1,0,1,42,1,1,1,1.0
99,1,105,0,0,0,1,43,1,1,1,0.5
100,1,228,0,3,0,0,44,1,1,1,1.0
101,1,228,0,3,0,0,44,1,1,1,0.5
102,1,228,1,3,0,0,45,1,1,1,3.0
103,1,322,0,3,0,1,46,1,1,1,0.5
104,1,322,0,1,0,1,47,1,1,1,2.0
105,0,367,0,1,0,2,54,1,1,1,0.5
106,0,367,0,3,0,2,55,1,1,1,1.0
107,0,367,1,3,0,2,55,1,1,1,3.0
108,2,190,0,3,0,0,57,1,1,1,1.0
109,2,190,0,2,0,0,57,1,1,1,0.5
110,2,190,0,3,0,0,58,1,1,1,1.0
111,2,190,0,3,0,0,58,1,1,1,1.0
112,2,190,0,3,0,0,59,1,1,1,1.0
113,1,186,0,3,0,1,1,2,1,1,1.0
114,1,186,1,3,0,1,2,2,1,1,1.0
115,1,121,0,1,1,1,3,2,1,1,1.0
116,1,121,0,3,1,1,3,2,1,1,2.0
117,1,121,1,3,1,1,4,2,1,1,3.0
118,1,274,1,3,0,1,6,2,1,1,3.0
119,1,264,0,2,1,1,8,2,1,1,2.0
120,1,132,0,3,0,1,10,2,1,1,2.0
121,1,132,0,2,0,1,10,2,1,1,1.0
122,1,132,0,1,0,1,10,2,1,1,5.0
123,1,132,0,2,0,1,10,2,1,1,1.0
124,1,132,0,1,0,1,11,2,1,1,0.5
125,1,228,0,2,0,0,13,2,1,1,2.0
126,2,279,0,3,1,1,14,2,1,1,1.0
127,2,279,0,2,1,1,14,2,1,1,1.0
128,2,279,0,3,1,1,14,2,1,1,0.5
129,2,279,1,3,1,1,15,2,1,1,3.0
130,0,104,1,1,0,1,16,2,1,1,3.0
131,2,184,0,2,0,1,18,2,1,1,1.0
132,0,258,0,3,0,0,20,2,1,1,1.0
133,0,209,1,3,0,1,24,2,1,1,3.0
134,1,260,0,3,0,1,25,2,1,1,2.0
135,1,260,0,3,0,1,25,2,1,1,1.0
136,1,260,0,3,0,1,26,2,1,1,1.0
137,1,260,0,1,0,1,26,2,1,1,0.5
138,2,383,0,3,0,1,28,2,1,1,0.5
139,1,109,0,1,0,1,30,2,1,1,1.0
140,0,161,0,2,0,1,31,2,1,1,5.0
141,1,127,0,2,0,1,33,2,1,1,1.0
142,1,127,0,1,0,1,33,2,1,1,1.0
143,1,127,0,1,0,1,33,2,1,1,0.5
144,1,233,1,2,1,2,36,2,1,1,5.0
145,1,129,0,3,1,1,38,2,1,1,1.0
146,1,129,0,0,1,1,39,2,1,1,1.0
147,1,129,0,3,1,1,39,2,1,1,1.0
148,1,129,1,3,1,1,40,2,1,1,3.0
149,1,243,0,2,0,1,43,2,1,1,1.0
150,1,243,0,1,0,1,43,2,1,1,5.0
151,1,243,1,3,0,1,43,2,1,1,5.0
152,2,131,0,3,0,1,47,2,1,1,2.0
153,2,131,1,3,0,1,47,2,1,1,3.0
154,1,225,0,3,0,1,48,2,1,1,1.0
155,2,246,0,2,0,0,49,2,1,1,1.0
156,1,126,1,3,1,0,55,2,1,1,3.0
157,1,82,0,3,1,1,56,2,1,1,0.5
158,1,82,0,3,1,1,57,2,1,1,1.0
159,1,82,0,3,1,1,57,2,1,1,0.5
160,1,82,0,3,1,1,58,2,1,1,0.5
161,1,82,1,1,1,1,58,2,1,1,3.0
162,0,329,0,3,0,1,59,2,1,1,2.0
163,0,329,0,1,0,1,59,2,1,1,1.0
164,0,329,1,3,0,1,0,3,1,1,3.0
165,1,335,1,3,0,1,2,3,1,1,3.0
166,1,173,0,3,1,1,9,3,1,1,1.0
167,1,173,1,3,1,1,10,3,1,1,3.0
168,1,222,0,3,0,1,13,3,1,1,0.5
169,1,222,1,3,0,1,13,3,1,1,10.0
170,2,181,0,2,1,1,17,3,1,1,5.0
171,2,181,0,2,1,1,18,3,1,1,1.0
172,2,181,0,3,1,1,18,3,1,1,0.5
173,2,181,1,2,1,1,19,3,1,1,5.0
174,1,85,0,0,1,0,22,3,1,1,1.0
175,1,85,0,3,1,0,22,3,1,1,0.5
176,1,85,0,3,1,0,22,3,1,1,1.0
177,1,85,0,2,1,0,23,3,1,1,1.0
178,1,85,1,3,1,0,24,3,1,1,5.0
179,1,62,0,1,0,1,29,3,1,1,1.0
180,1,62,0,3,0,1,29,3,1,1,1.0
181,1,62,0,3,0,1,30,3,1,1,1.0
182,1,62,0,3,0,1,31,3,1,1,0.5
183,1,62,0,3,0,1,31,3,1,1,0.5
184,1,62,0,3,0,1,32,3,1,1,0.5
185,1,62,0,0,0,1,32,3,1,1,0.5
186,0,291,0,3,0,1,35,3,1,1,2.0
187,0,291,1,3,0,1,35,3,1,1,5.0
188,1,107,1,3,1,1,38,3,1,1,1.0
189,2,78,0,1,0,0,42,3,1,1,1.0
190,1,22,0,3,1,1,45,3,1,1,1.0
191,1,22,0,3,1,1,45,3,1,1,1.0
192,1,22,0,3,1,1,46,3,1,1,0.5
193,2,164,1,1,0,1,49,3,1,1,3.0
194,2,203,0,2,0,1,50,3,1,1,2.0
195,2,203,0,2,0,1,51,3,1,1,1.0
196,1,277,0,3,0,0,52,3,1,1,0.5
197,1,277,0,2,0,0,53,3,1,1,0.5
198,1,277,0,2,0,0,53,3,1,1,2.0
199,1,105,1,2,0,1,56,3,1,1,10.0
200,1,239,0,3,1,2,59,3,1,1,1.0
201,1,239,1,3,1,2,0,4,1,1,3.0
202,0,113,0,1,1,2,1,4,1,1,5.0
203,0,113,1,3,1,2,2,4,1,1,3.0
204,0,379,1,3,0,1,3,4,1,1,5.0
205,0,175,0,3,1,1,4,4,1,1,0.5
206,2,84,0,1,1,1,6,4,1,1,1.0
207,2,268,0,2,1,0,10,4,1,1,0.5
208,2,268,0,3,1,0,11,4,1,1,5.0
209,2,268,1,2,1,0,11,4,1,1,3.0
210,1,129,0,2,0,1,12,4,1,1,1.0
211,1,129,0,2,0,1,13,4,1,1,2.0
212,1,129,0,2,0,1,13,4,1,1,1.0
213,1,129,1,3,0,1,13,4,1,1,1.0
214,0,224,0,0,0,1,16,4,1,1,5.0
215,0,224,0,3,0,1,16,4,1,1,1.0
216,0,224,0,2,0,1,17,4,1,1,1.0
217,0,224,0,3,0,1,17,4,1,1,1.0
218,0,224,0,3,0,1,18,4,1,1,1.0
219,0,224,1,3,0,1,18,4,1,1,3.0
220,1,242,1,3,0,1,20,4,1,1,3.0
221,1,45,0,2,0,1,22,4,1,1,2.0
222,1,45,1,3,0,1,22,4,1,1,3.0
223,1,322,0,3,0,2,23,4,1,1,0.5
224,1,322,0,3,0,2,24,4,1,1,1.0
225,1,322,0,1,0,2,25,4,1,1,0.5
226,1,322,1,3,0,2,25,4,1,1,3.0
227,0,164,0,3,1,1,26,4,1,1,1.0
228,0,164,0,3,1,1,26,4,1,1,1.0
229,0,164,0,3,1,1,26,4,1,1,0.5
230,0,164,0,2,1,1,27,4,1,1,0.5
231,0,164,0,2,1,1,27,4,1,1,1.0
232,0,164,0,2,1,1,28,4,1,1,1.0
233,0,164,0,2,1,1,29,4,1,1,1.0
234,1,158,0,1,0,1,31,4,1,1,0.5
235,1,140,0,1,0,1,34,4,1,1,1.0
236,2,13,0,1,0,0,35,4,1,1,1.0
237,2,13,0,3,0,0,35,4,1,1,1.0
238,1,85,0,3,0,1,37,4,1,1,2.0
239,1,85,0,3,0,1,37,4,1,1,1.0
240,1,85,0,2,0,1,38,4,1,1,1.0
241,1,85,1,2,0,1,38,4,1,1,3.0
242,1,197,0,0,0,1,40,4,1,1,0.5
243,2,215,0,1,0,1,41,4,1,1,1.0
244,1,151,0,3,0,1,44,4,1,1,0.5
245,1,151,0,2,0,1,44,4,1,1,1.0
246,1,151,0,2,0,1,45,4,1,1,1.0
247,1,151,0,1,0,1,45,4,1,1,5.0
248,1,151,0,3,0,1,46,4,1,1,1.0
249,1,151,1,2,0,1,47,4,1,1,1.0
250,1,208,0,3,0,2,49,4,1,1,1.0
251,1,208,0,1,0,2,49,4,1,1,2.0
252,1,208,0,0,0,2,49,4,1,1,0.5
253,1,208,0,3,0,2,50,4,1,1,1.0
254,1,208,0,0,0,2,50,4,1,1,1.0
255,0,221,0,2,0,1,52,4,1,1,0.5
256,0,221,0,3,0,1,52,4,1,1,1.0
257,0,221,0,2,0,1,53,4,1,1,1.0
258,0,221,1,0,0,1,53,4,1,1,1.0
259,1,257,0,0,0,1,54,4,1,1,2.0
260,1,116,0,1,0,2,56,4,1,1,1.0
261,1,209,0,3,1,1,59,4,1,1,1.0
262,0,263,0,1,1,2,1,5,1,1,2.0
263,0,263,0,3,1,2,2,5,1,1,1.0
264,0,263,1,2,1,2,2,5,1,1,10.0
265,1,84,0,2,0,1,4,5,1,1,1.0
266,0,136,1,3,1,1,5,5,1,1,3.0
267,2,211,0,0,0,1,6,5,1,1,1.0
268,2,211,0,3,0,1,7,5,1,1,0.5
269,2,211,1,3,0,1,7,5,1,1,5.0
270,0,232,0,3,0,2,10,5,1,1,1.0
271,0,232,1,2,0,2,10,5,1,1,1.0
272,1,243,1,3,0,1,11,5,1,1,3.0
273,1,180,0,3,0,2,14,5,1,1,2.0
274,1,180,0,3,0,2,14,5,1,1,2.0
275,0,175,0,1,0,2,16,5,1,1,2.0
276,0,175,0,3,0,2,17,5,1,1,0.5
277,0,175,0,1,0,2,17,5,1,1,0.5
278,0,175,1,3,0,2,18,5,1,1,3.0
279,0,125,1,3,0,2,20,5,1,1,3.0
280,1,247,0,1,1,1,23,5,1,1,1.0
281,1,247,0,2,1,1,24,5,1,1,0.5
282,1,247,0,3,1,1,24,5,1,1,1.0
283,1,247,1,3,1,1,25,5,1,1,1.0
284,2,246,0,2,0,1,29,5,1,1,1.0
285,1,117,0,1,0,2,32,5,1,1,1.0
286,1,376,1,3,0,1,36,5,1,1,3.0
287,1,174,1,3,1,1,37,5,1,1,5.0
288,1,162,0,3,0,0,39,5,1,1,0.5
289,1,162,0,3,0,0,40,5,1,1,2.0
290,2,129,0,2,0,0,45,5,1,1,1.0
291,2,215,0,2,0,1,46,5,1,1,0.5
292,1,355,0,3,0,0,49,5,1,1,0.5
293,1,355,1,2,0,0,49,5,1,1,5.0
294,2,135,0,3,0,1,52,5,1,1,1.0
295,2,135,0,3,0,1,53,5,1,1,0.5
